country,region,year,gdp
Sweden,Europe,1971,41506151115
Switzerland,Europe,1971,30040171751
Thailand,Asia,1971,7375000024
Türkiye,Middle East,1971,16166666667
United Kingdom,Europe,1971,148113896325
United States,North America,1971,1164850000000
Argentina,South America,1972,34733000536
Australia,Oceania,1972,52117990654
Belgium,Europe,1972,37209418019
Brazil,South America,1972,58434858375
Canada,North America,1972,113463848874
China,Asia,1972,113871930714
Egypt,Africa,1972,9299638056
France,Europe,1972,201738881664
Germany,Europe,1972,300899944795
India,Asia,1972,71464700667
Indonesia,Asia,1972,10997590361
Iran,Middle East,1972,17153463263
Italy,Europe,1972,145594833997
Japan,Asia,1972,324933841269
Mexico,North America,1972,45200000000
Netherlands,Europe,1972,54787070173
Nigeria,Africa,1972,12274416018
Pakistan,Asia,1972,9415016360
Saudi Arabia,Middle East,1972,9664267087
South Africa,Africa,1972,24515919217
South Korea,Asia,1972,10990490570
Spain,Europe,1972,59090176029
Sweden,Europe,1972,48883173400
Switzerland,Europe,1972,36844318854
Thailand,Asia,1972,8177873151
Türkiye,Middle East,1972,20650000000
United Kingdom,Europe,1972,169965034965
United States,North America,1972,1279110000000
Argentina,South America,1973,52544000117
Australia,Oceania,1973,63923126201
Belgium,Europe,1973,47743801490
Brazil,South America,1973,83592275863
Canada,North America,1973,131764343566
China,Asia,1973,138764340892
Egypt,Africa,1973,10098534613
France,Europe,1973,261970536240
Germany,Europe,1973,399833571167
India,Asia,1973,85517673173
Indonesia,Asia,1973,16273253012
Iran,Middle East,1973,27081698250
Italy,Europe,1973,175896529392
Japan,Asia,1973,441460582536
Mexico,North America,1973,55280000000
Netherlands,Europe,1973,71946639603
Nigeria,Africa,1973,15162871287
Pakistan,Asia,1973,6383429490
Saudi Arabia,Middle East,1973,14947435499
South Africa,Africa,1973,33262772008
South Korea,Asia,1973,14067523813
Spain,Europe,1973,78583355226
Sweden,Europe,1973,59318842992
Switzerland,Europe,1973,49550006320
Thailand,Asia,1973,10838587358
Türkiye,Middle East,1973,26000000000
United Kingdom,Europe,1973,192537971583
United States,North America,1973,1425376000000
Argentina,South America,1974,72436777342
Australia,Oceania,1974,89086219602
Belgium,Europe,1974,56033077879
Brazil,South America,1974,109794519728
Canada,North America,1974,160949188139
China,Asia,1974,144418433058
Egypt,Africa,1974,9228963225
France,Europe,1974,282739225314
Germany,Europe,1974,446934971657
India,Asia,1974,99526597934
Indonesia,Asia,1974,25802409639
Iran,Middle East,1974,46209092072
Italy,Europe,1974,200024444775
Japan,Asia,1974,490035789970
Mexico,North America,1974,72000000000
Netherlands,Europe,1974,87371810804
Nigeria,Africa,1974,24846641318
Pakistan,Asia,1974,8899191919
Saudi Arabia,Middle East,1974,45412957746
South Africa,Africa,1974,41389186095
South Korea,Asia,1974,19860929977
Spain,Europe,1974,97204522642
Sweden,Europe,1974,65917634590
Switzerland,Europe,1974,57103011446
Thailand,Asia,1974,13702998512
Türkiye,Middle East,1974,35414285714
United Kingdom,Europe,1974,206131369799
United States,North America,1974,1545243000000
Argentina,South America,1975,52438647922
Australia,Oceania,1975,97440939506
Belgium,Europe,1975,65678189097
Brazil,South America,1975,129203555239
Canada,North America,1975,174419757177
China,Asia,1975,163687619736
Egypt,Africa,1975,11632178869
France,Europe,1975,357324307786
Germany,Europe,1975,492434094920
India,Asia,1975,98473832017
Indonesia,Asia,1975,30463855422
Iran,Middle East,1975,51776222350
Italy,Europe,1975,228220643535
Japan,Asia,1975,532861438885
Mexico,North America,1975,88000000000
Netherlands,Europe,1975,100397061694
Nigeria,Africa,1975,27778934625
Pakistan,Asia,1975,11230606061
Saudi Arabia,Middle East,1975,46773208643
South Africa,Africa,1975,42906905672
South Korea,Asia,1975,22126033058
Spain,Europe,1975,114695060870
Sweden,Europe,1975,82765232648
Switzerland,Europe,1975,65466081819
Thailand,Asia,1975,14882770594
Türkiye,Middle East,1975,46042857143
United Kingdom,Europe,1975,241756637168
United States,North America,1975,1684904000000
Argentina,South America,1976,51169499892
Australia,Oceania,1976,105209354856
Belgium,Europe,1976,71113882968
Brazil,South America,1976,153168949208
Canada,North America,1976,207271612576
China,Asia,1976,154196810059
Egypt,Africa,1976,13315988083
France,Europe,1976,368363152144
Germany,Europe,1976,521658712133
India,Asia,1976,102716451980
Indonesia,Asia,1976,37269156627
Iran,Middle East,1976,68055295081
Italy,Europe,1976,225235205862
Japan,Asia,1976,598883902156
Mexico,North America,1976,88875923765
Netherlands,Europe,1976,109329386564
Nigeria,Africa,1976,36308883249
Pakistan,Asia,1976,13168080808
Saudi Arabia,Middle East,1976,64005665722
South Africa,Africa,1976,41150460288
South Korea,Asia,1976,30371074380
Spain,Europe,1976,118422534195
Sweden,Europe,1976,89232517046
Switzerland,Europe,1976,68476524644
Thailand,Asia,1976,16985208648
Türkiye,Middle East,1976,51450000000
United Kingdom,Europe,1976,232614555256
United States,North America,1976,1873412000000
Argentina,South America,1977,56781000101
Australia,Oceania,1977,110504702914
Belgium,Europe,1977,82839905459
Brazil,South America,1977,176344101402
Canada,North America,1977,212325176305
China,Asia,1977,175226595860
Egypt,Africa,1977,14400806876
France,Europe,1977,406401711688
Germany,Europe,1977,602698323086
India,Asia,1977,121486641441
Indonesia,Asia,1977,45808915663
Iran,Middle East,1977,80600122702
Italy,Europe,1977,258190019750
Japan,Asia,1977,737069290928
Mexico,North America,1977,81912018784
Netherlands,Europe,1977,127203923857
Nigeria,Africa,1977,36035407725
Pakistan,Asia,1977,15126060606
Saudi Arabia,Middle East,1977,74188986586
South Africa,Africa,1977,45328411332
South Korea,Asia,1977,39064462810
Spain,Europe,1977,132354665936
Sweden,Europe,1977,94331782622
Switzerland,Europe,1977,73135771167
Thailand,Asia,1977,19779312261
